timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_enabled,cbf_margin,cbf_applied,cbf_fallback,u_nom_lr,u_nom_fb,u_filt_lr,u_filt_fb
1756189114.5051997,0,follower,auto,0.11482115089893341,0.9473121166229248,0.1496025174856186,0,1,0,-0.11482115089893341,0.052687883377075195,-0.1496025174856186,-14.021411044486623,-11.102066984080388,6.466853846920533,0,,,,,,,,True,0.6800381719711085,False,False,-14.0,-11.0,-14.0,-11.0
1756189114.6055784,1,follower,auto,0.06014350801706314,0.9107194542884827,1.0894023180007935,0.0,1.0,1.0,-0.06014350801706314,0.08928054571151733,-0.08940231800079346,-7.877026143281443,-5.908562573576846,8.016627353756453,0,,,,,,,,True,2.03765798361522,False,False,-8.0,-6.0,-8.0,-6.0
1756189114.7098846,0,leader,auto,0.11482115089893341,0.9473121166229248,0.1496025174856186,0,1,0,-0.11482115089893341,0.052687883377075195,-0.1496025174856186,0,0,0,0,1.0,-0.132081114121488,0.23809006537746868,-0.08924250019400581,0.11482115089893341,0.9473121166229248,0.1496025174856186,False,,False,False,,,,
1756189114.8102505,1,follower,auto,0.06014350801706314,0.9107194542884827,1.0894023180007935,0.0,1.0,1.0,-0.06014350801706314,0.08928054571151733,-0.08940231800079346,0,0,0,0,1.0,-0.07409519265299486,0.06674593625713487,-0.0923353134222793,0.06014350801706314,0.9107194542884827,1.0894023180007935,False,,False,False,,,,
1756189114.8109126,0,follower,auto,0.11705897003412247,0.940925121307373,0.14922404289245605,0,1,0,-0.11705897003412247,0.05907487869262695,-0.14922404289245605,-14.007397518482286,-11.106245093510482,6.43824739376098,0,,,,,,,,True,0.6968834549562675,False,False,-14.0,-11.0,-14.0,-11.0
1756189114.9113402,1,follower,auto,0.056504905223846436,0.9114142656326294,1.0955650806427002,0.0,1.0,1.0,-0.056504905223846436,0.0885857343673706,-0.0955650806427002,-8.938226465168233,-4.891060482422971,8.03250295663739,0,,,,,,,,True,2.0230218607406707,False,False,-9.0,-5.0,-9.0,-5.0
1756189115.0181973,0,leader,auto,0.11705897003412247,0.940925121307373,0.14922404289245605,0,1,0,-0.11705897003412247,0.05907487869262695,-0.14922404289245605,0,0,0,0,1.0,-0.13613590324562957,0.23761405877784114,-0.08407503746968517,0.11705897003412247,0.940925121307373,0.14922404289245605,False,,False,False,,,,
1756189115.1185968,1,follower,auto,0.056504905223846436,0.9114142656326294,1.0955650806427002,0.0,1.0,1.0,-0.056504905223846436,0.0885857343673706,-0.0955650806427002,0,0,0,0,1.0,-0.07740231941016129,0.08069389458710985,-0.10105254748797199,0.056504905223846436,0.9114142656326294,1.0955650806427002,False,,False,False,,,,
1756189115.1199613,0,follower,auto,0.11669915169477463,0.9353414177894592,0.15111330151557922,0,1,0,-0.11669915169477463,0.06465858221054077,-0.15111330151557922,-14.999944635011696,-11.096232748915533,7.420107752440542,0,,,,,,,,True,0.7463439052939158,False,False,-15.0,-11.0,-15.0,-11.0
1756189115.220973,1,follower,auto,0.05461929365992546,0.9123702049255371,1.0993945598602295,0.0,1.0,1.0,-0.05461929365992546,0.08762979507446289,-0.09939455986022949,-8.964305950338433,-4.8935281182707735,8.047098653748229,0,,,,,,,,True,1.9784650194086644,False,False,-9.0,-5.0,-9.0,-5.0
