timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_enabled,cbf_margin,cbf_applied,cbf_fallback,u_nom_lr,u_nom_fb,u_filt_lr,u_filt_fb
1756189820.0689976,1,leader,auto,0.541243851184845,0.05237450450658798,0.8995490670204163,0.65,1.0,1.0,0.10875614881515505,0.947625495493412,0.10045093297958374,0,0,0,0,1.0,0.09972898824140841,-0.05207034283049469,-0.19588961815176642,0.541243851184845,0.05237450450658798,0.8995490670204163,False,,False,False,,,,
1756189820.1721957,0,follower,auto,0.4767823815345764,0.05435072258114815,-0.15998400747776031,0.65,1.0,0.0,0.1732176184654236,0.9456492774188519,0.15998400747776031,0,0,0,0,1.0,-0.03257805419811155,-0.03205735151384603,-0.1624782282683558,0.4767823815345764,0.05435072258114815,-0.15998400747776031,False,,False,False,,,,
1756189820.2725945,1,leader,auto,0.5412482023239136,0.05237327516078949,0.8995479941368103,0.65,1.0,1.0,0.10875179767608645,0.9476267248392105,0.1004520058631897,0,0,0,0,1.0,0.09973625762914096,-0.05207242957533399,-0.19589233301392794,0.5412482023239136,0.05237327516078949,0.8995479941368103,False,,False,False,,,,
1756189820.375752,0,follower,auto,0.47677502036094666,0.0543564110994339,-0.15997663140296936,0.65,1.0,0.0,0.17322497963905337,0.9456435889005661,0.15997663140296936,0,0,0,0,1.0,-0.032588676687719476,-0.032046094541918216,-0.1624633885226392,0.47677502036094666,0.0543564110994339,-0.15997663140296936,False,,False,False,,,,
1756189820.476059,1,leader,auto,0.5412502288818359,0.05237306281924248,0.8995429873466492,0.65,1.0,1.0,0.10874977111816408,0.9476269371807575,0.10045701265335083,0,0,0,0,1.0,0.09973295806399768,-0.05207239063459265,-0.1958975671933747,0.5412502288818359,0.05237306281924248,0.8995429873466492,False,,False,False,,,,
1756189820.5794506,0,follower,auto,0.4767853915691376,0.05435827746987343,-0.15997371077537537,0.65,1.0,0.0,0.17321460843086245,0.9456417225301266,0.15997371077537537,0,0,0,0,1.0,-0.032571213889031836,-0.03205220228884317,-0.16246903418863545,0.4767853915691376,0.05435827746987343,-0.15997371077537537,False,,False,False,,,,
1756189820.6797056,1,leader,auto,0.5412539839744568,0.05238037556409836,0.8995459079742432,0.65,1.0,1.0,0.10874601602554324,0.9476196244359016,0.10045409202575684,0,0,0,0,1.0,0.09973390958860773,-0.052065845948144396,-0.19589062599774443,0.5412539839744568,0.05238037556409836,0.8995459079742432,False,,False,False,,,,
1756189820.784374,0,follower,auto,0.47678065299987793,0.05436397343873978,-0.15996818244457245,0.65,1.0,0.0,0.1732193470001221,0.9456360265612602,0.15996818244457245,0,0,0,0,1.0,-0.03258764101753664,-0.03205029182467958,-0.16246727796426605,0.47678065299987793,0.05436397343873978,-0.15996818244457245,False,,False,False,,,,
1756189820.8846643,1,leader,auto,0.5412582159042358,0.0524042584002018,0.8995563387870789,0.65,1.0,1.0,0.10874178409576418,0.9475957415997982,0.10044366121292114,0,0,0,0,1.0,0.09973355232420089,-0.052050648938038374,-0.19588451850636535,0.5412582159042358,0.0524042584002018,0.8995563387870789,False,,False,False,,,,
1756189820.9887068,0,follower,auto,0.47678717970848083,0.054378610104322433,-0.15996494889259338,0.65,1.0,0.0,0.1732128202915192,0.9456213898956776,0.15996494889259338,0,0,0,0,1.0,-0.032576707463018106,-0.032043384890076326,-0.1624705295953916,0.47678717970848083,0.054378610104322433,-0.15996494889259338,False,,False,False,,,,
