timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_fire_flag,rc_safe_x,rc_safe_z,rc_diff_norm,qp_status,active_constraint_id,rc_nom_x,rc_nom_z,h_x,HOh_x,h2_value,h2_satisfied,h3_value,h3_satisfied,velocity_diff_x,velocity_diff_y
1765267165.8698359,1,follower,manual,0.0568048395216465,0.059057511389255524,0.8663230538368225,0.1,1,1,0.043195160478353506,0.9409424886107445,0.1336769461631775,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267166.102711,0,leader,manual,0.8519161343574524,0.034870248287916183,0.8524013757705688,0.9,1,1,0.04808386564254763,0.9651297517120838,0.14759862422943115,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267166.102955,1,follower,manual,0.056813787668943405,0.05905994400382042,0.8663161396980286,0.1,1,1,0.0431862123310566,0.9409400559961796,0.13368386030197144,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267166.4123316,0,leader,manual,0.8519049882888794,0.03490709513425827,0.8524385094642639,0.9,1,1,0.04809501171112063,0.9650929048657417,0.14756149053573608,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267166.4126227,1,follower,manual,0.056802764534950256,0.059045322239398956,0.8663219213485718,0.1,1,1,0.04319723546504975,0.940954677760601,0.13367807865142822,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267166.5807145,0,leader,manual,0.8519089221954346,0.034911349415779114,0.8524315357208252,0.9,1,1,0.04809107780456545,0.9650886505842209,0.1475684642791748,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267166.5809777,1,follower,manual,0.05681169033050537,0.059057772159576416,0.8663220405578613,0.1,1,1,0.043188309669494634,0.9409422278404236,0.13367795944213867,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267166.8154411,0,leader,manual,0.8519126176834106,0.034896671772003174,0.8524366617202759,0.9,1,1,0.04808738231658938,0.9651033282279968,0.14756333827972412,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267166.815782,1,follower,manual,0.05680880323052406,0.059048835188150406,0.866315484046936,0.1,1,1,0.04319119676947594,0.9409511648118496,0.13368451595306396,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267167.0209894,0,leader,manual,0.8519060611724854,0.03490512818098068,0.8524296879768372,0.9,1,1,0.04809393882751467,0.9650948718190193,0.14757031202316284,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267167.0213325,1,follower,manual,0.05680616945028305,0.059048425406217575,0.8663153648376465,0.1,1,1,0.043193830549716955,0.9409515745937824,0.13368463516235352,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267167.3247352,0,leader,manual,0.8519121408462524,0.03486129641532898,0.852394163608551,0.9,1,1,0.04808785915374758,0.965138703584671,0.14760583639144897,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267167.325037,1,follower,manual,0.056803904473781586,0.05905339866876602,0.8663221597671509,0.1,1,1,0.04319609552621842,0.940946601331234,0.13367784023284912,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267167.6302075,0,leader,manual,0.851905107498169,0.03490526229143143,0.8524396419525146,0.9,1,1,0.04809489250183108,0.9650947377085686,0.14756035804748535,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
